Country Name,Country Code,Year,Value
Papua New Guinea,PNG,2017,39
Paraguay,PRY,2017,27
Peru,PER,2017,120
Philippines,PHL,2017,93
Poland,POL,2017,11
Portugal,PRT,2017,15
Puerto Rico,PRI,2017,9
Qatar,QAT,2017,9
Romania,ROU,2017,17
Russian Federation,RUS,2017,57
Rwanda,RWA,2017,19
Samoa,WSM,2017,6
San Marino,SMR,2017,0
Sao Tome and Principe,STP,2017,13
Saudi Arabia,SAU,2017,17
Senegal,SEN,2017,17
Serbia,SRB,2017,13
Seychelles,SYC,2017,12
Sierra Leone,SLE,2017,14
Singapore,SGP,2017,18
Sint Maarten (Dutch part),SXM,2017,1
Slovak Republic,SVK,2017,12
Slovenia,SVN,2017,10
Solomon Islands,SLB,2017,24
Somalia,SOM,2017,19
South Africa,ZAF,2017,52
South Sudan,SSD,2017,19
Spain,ESP,2017,19
Sri Lanka,LKA,2017,16
St. Kitts and Nevis,KNA,2017,2
St. Lucia,LCA,2017,6
St. Martin (French part),MAF,2017,1
St. Vincent and the Grenadines,VCT,2017,3
Sudan,SDN,2017,24
Suriname,SUR,2017,9
Swaziland,SWZ,2017,12
Sweden,SWE,2017,11
Switzerland,CHE,2017,9
Syrian Arab Republic,SYR,2017,17
Tajikistan,TJK,2017,15
Tanzania,TZA,2017,49
Thailand,THA,2017,54
Timor-Leste,TLS,2017,6
Togo,TGO,2017,11
Tonga,TON,2017,5
Trinidad and Tobago,TTO,2017,5
Tunisia,TUN,2017,11
Turkey,TUR,2017,20
Turkmenistan,TKM,2017,19
Turks and Caicos Islands,TCA,2017,3
Tuvalu,TUV,2017,1
Uganda,UGA,2017,28
Ukraine,UKR,2017,17
United Arab Emirates,ARE,2017,13
United Kingdom,GBR,2017,11
United States,USA,2017,82
Uruguay,URY,2017,22
Uzbekistan,UZB,2017,19
Vanuatu,VUT,2017,8
"Venezuela, RB",VEN,2017,51
Vietnam,VNM,2017,46
Virgin Islands (U.S.),VIR,2017,2
West Bank and Gaza,PSE,2017,15
"Yemen, Rep.",YEM,2017,15
Zambia,ZMB,2017,19
Zimbabwe,ZWE,2017,18
