,Deaths attributable to the environment,,,,Deaths attributable to the environment (%)
Country,Total,"Infectious, parasitic, neonatal and nutritional",Noncommunicable diseases,Injuries,Total
Afghanistan,65 147,29 571,22 490,13 086,26
Albania,6 767,78,6 174,514,23
Algeria,36 718,3 806,24 914,7 999,17
Andorra,68,0,62,6,11
Angola,78 536,53 081,11 952,13 502,26
Antigua and Barbuda,74,2,62,10,12
Argentina,40 951,1 715,30 920,8 316,13
Armenia,7 707,124,7 035,549,21
Australia,15 061,224,13 063,1 774,10
Austria,9 552,50,8 605,897,12
Azerbaijan,12 040,826,10 221,993,21
Bahamas,201,10,148,43,9
Bahrain,442,21,327,94,16
Bangladesh,201 534,48 257,113 704,39 573,23
Barbados,204,10,170,23,11
Belarus,23 809,154,19 848,3 807,19
Belgium,13 286,196,11 560,1 529,12
Belize,177,22,91,65,13
Benin,22 316,11 815,6 922,3 579,25
Bhutan,1 259,198,571,490,26
Bolivia (Plurinational State of),13 222,2 442,6 942,3 837,18
Bosnia and Herzegovina,9 681,66,8 977,638,27
Botswana,2 905,1 352,944,610,18
Brazil,195 742,17 793,128 381,49 568,15
Brunei Darussalam,167,6,125,37,12
Bulgaria,18 555,120,17 511,923,17
Burkina Faso,41 806,24 035,10 480,7 291,26
Burundi,29 580,17 019,6 252,6 309,26
Cabo Verde,533,73,370,91,21
Cambodia,21 012,5 841,11 054,4 117,25
Cameroon,52 926,30 628,12 809,9 489,22
Canada,26 343,503,22 225,3 615,11
Central African Republic,16 138,11 093,3 021,2 025,25
Chad,45 305,32 543,6 927,5 835,26
Chile,11 282,262,9 337,1 683,12
China,2 986 684,54 470,2 607 982,324 232,30
Colombia,34 297,2 534,22 795,8 967,17
Comoros,1 508,732,447,328,25
Congo,11 078,6 659,2 840,1 579,25
Cook Islands,13,1,7,5,13
Costa Rica,3 099,116,2 213,770,15
C̫te d'Ivoire,55 493,30 828,14 589,10 077,22
Croatia,7 799,32,7 144,623,16
Cuba,12 931,176,10 323,2 432,15
Cyprus,818,9,716,93,13
Czechia,15 802,154,14 306,1 342,15
Democratic People's Republic of Korea,70 446,2 821,58 899,8 726,31
Democratic Republic of the Congo,247 832,163 548,45 269,39 015,27
Denmark,5 615,92,5 098,424,10
Djibouti,1 409,643,450,316,18
Dominica,67,6,48,13,13
Dominican Republic,9 361,897,6 020,2 444,19
Ecuador,12 825,973,7 522,4 330,16
Egypt,101 806,7 283,84 308,10 215,19
El Salvador,7 071,406,4 320,2 345,17
Equatorial Guinea,2 106,1 153,561,391,24
Eritrea,9 818,4 597,3 006,2 214,24
Estonia,1 948,11,1 756,181,13
Ethiopia,151 549,82 032,38 510,31 007,22
Fiji,918,72,624,222,15
Finland,5 574,45,4 821,709,11
France,61 117,1 115,51 203,8 800,11
Gabon,2 803,1 603,716,483,19
Gambia,3 441,1 894,911,636,23
Georgia,12 362,172,11 660,530,25
Germany,98 870,1 630,90 544,6 697,11
Ghana,47 337,22 146,17 886,7 306,23
Greece,17 486,67,16 316,1 103,16
Grenada,106,5,83,17,14
Guatemala,13 913,3 679,6 411,3 822,17
Guinea,28 747,16 421,7 712,4 614,24
Guinea-Bissau,4 870,2 940,1 208,721,24
Guyana,1 130,197,615,317,18
Haiti,20 818,7 780,10 065,2 973,23
Honduras,7 173,1 242,4 209,1 722,20
Hungary,22 218,90,20 621,1 507,17
Iceland,186,2,160,24,9
India,2 911 670,655 338,1 763 813,492 519,30
Indonesia,349 872,57 012,247 738,45 123,23
Iran (Islamic Republic of),87 302,4 624,59 186,23 492,22
Iraq,34 557,5 271,20 119,9 167,21
Ireland,3 401,66,2 944,390,13
Israel,4 794,164,4 210,421,12
Italy,75 439,593,69 087,5 760,13
Jamaica,2 714,191,2 097,426,14
Japan,131 278,2 378,109 401,19 500,11
Jordan,4 774,417,3 181,1 176,18
Kazakhstan,31 265,981,24 996,5 288,20
Kenya,80 724,46 060,18 122,16 541,22
Kiribati,121,32,58,31,15
Kuwait,1 229,74,900,255,20
Kyrgyzstan,8 747,610,7 102,1 034,24
Lao People's Democratic Republic,14 911,7 139,5 948,1 823,32
Latvia,4 404,26,4 022,356,15
Lebanon,3 964,94,3 232,639,19
Lesotho,4 752,2 517,1 187,1 048,16
Liberia,8 272,4 373,2 656,1 243,24
Libya,5 006,300,3 571,1 135,19
Lithuania,5 362,59,4 633,670,15
Luxembourg,409,6,347,55,11
Madagascar,41 845,18 499,15 908,7 438,26
Malawi,33 066,18 688,9 165,5 213,22
Malaysia,25 941,1 456,17 740,6 745,18
Maldives,164,16,108,40,13
Mali,45 949,27 931,11 128,6 891,27
Malta,471,2,446,23,16
Marshall Islands,54,21,24,9,15
Mauritania,6 955,3 992,1 858,1 106,23
Mauritius,1 027,77,722,229,11
Mexico,83 582,5 845,55 046,22 691,14
Micronesia (Federated States of),92,24,43,26,14
Monaco,24,0,20,4,8
Mongolia,5 173,395,3 954,825,27
Montenegro,1 077,7,1 006,65,19
Morocco,32 276,3 966,22 244,6 066,16
Mozambique,70 492,42 371,12 524,15 597,23
Myanmar,109 235,21 584,69 244,18 407,25
Namibia,2 730,991,1 183,556,19
Nauru,4,1,2,1,12
Nepal,46 687,9 829,28 508,8 350,25
Netherlands,16 128,185,14 655,1 288,12
New Zealand,3 137,55,2 713,369,11
Nicaragua,5 855,692,3 958,1 205,20
Niger,50 265,34 101,9 144,7 020,28
Nigeria,497 736,312 269,87 248,98 218,24
Niue,1,0,1,0,12
Norway,3 909,89,3 306,515,9
Oman,1 601,80,969,553,17
Pakistan,331 181,117 630,151 153,62 399,25
Palau,14,2,8,5,12
Panama,2 729,433,1 578,718,14
Papua New Guinea,10 356,4 495,3 247,2 615,19
Paraguay,6 337,544,4 333,1 460,20
Peru,21 123,1 800,14 027,5 296,16
Philippines,123 459,22 391,84 891,16 177,22
Poland,59 220,292,53 628,5 300,16
Portugal,10 689,172,9 683,834,11
Qatar,553,22,330,202,20
Republic of Korea,37 959,1 018,32 678,4 263,14
Republic of Moldova,8 973,147,7 797,1 029,21
Romania,47 325,750,43 330,3 245,19
Russian Federation,349 811,5 005,296 462,48 344,17
Rwanda,18 777,9 148,5 586,4 042,24
Saint Kitts and Nevis,37,2,27,9,8
Saint Lucia,190,7,149,34,15
Saint Vincent and the Grenadines,108,7,80,20,15
Samoa,154,21,99,34,15
San Marino,22,0,18,4,7
Sao Tome and Principe,231,105,74,52,19
Saudi Arabia,18 393,725,14 242,3 425,20
Senegal,20 869,11 730,5 442,3 697,21
Serbia,17 519,139,16 520,860,15
Seychelles,86,13,42,31,14
Sierra Leone,24 370,15 639,4 974,3 757,24
Singapore,3 110,79,2 873,159,13
Slovakia,8 234,49,7 558,628,16
Slovenia,2 499,12,2 131,356,13
Solomon Islands,634,171,322,141,21
Somalia,34 196,23 833,4 847,5 516,24
South Africa,97 408,42 071,35 595,19 742,16
South Sudan,27 482,16 421,5 671,5 390,22
Spain,43 623,489,39 831,3 304,11
Sri Lanka,34 915,1 591,26 274,7 050,25
Sudan,69 117,33 809,18 851,16 457,23
Suriname,381,43,225,113,16
Swaziland,2 388,1 277,590,521,17
Sweden,8 675,236,7 473,965,10
Switzerland,7 226,79,6 387,760,12
Syrian Arab Republic,17 036,1 242,13 440,2 354,13
Tajikistan,11 135,2 499,7 132,1 504,23
Thailand,93 823,5 659,66 240,21 924,19
The former Yugoslav republic of Macedonia,3 399,24,3 199,176,17
Timor-Leste,1 638,692,651,296,23
Togo,15 447,9 134,3 826,2 487,24
Tonga,92,10,63,19,13
Trinidad and Tobago,1 319,47,986,286,10
Tunisia,10 952,450,8 736,1 766,18
Turkey,75 520,2 248,65 929,7 343,18
Turkmenistan,11 415,956,8 931,1 528,25
Tuvalu,11,2,6,3,13
Uganda,82 298,44 407,17 422,20 469,23
Ukraine,135 298,1 966,121 104,12 228,20
United Arab Emirates,2 138,82,1 303,753,22
United Kingdom of Great Britain and Northern Ireland,64 808,683,59 412,4 714,12
United Republic of Tanzania,90 210,48 814,20 180,21 216,22
United States of America,282 510,5 726,236 052,40 732,11
Uruguay,3 119,59,2 588,472,10
Uzbekistan,43 662,3 399,35 865,4 398,24
Vanuatu,241,42,154,45,21
Venezuela (Bolivarian Republic of),25 902,2 038,14 637,9 226,18
Viet Nam,129 271,10 706,94 987,23 578,25
Yemen,31 317,9 940,14 405,6 972,19
Zambia,33 235,19 892,6 188,7 156,23
Zimbabwe,26 394,13 869,7 767,4 759,19
